timestamp,min,max,avg,mode,number_of_packets
1710227040.0,-52.0,-46.0,-47.992831541218635,-48.0,558.0
1710227100.0,-49.0,-46.0,-47.96989966555184,-48.0,598.0
1710227160.0,-49.0,-46.0,-47.97128378378378,-48.0,592.0
1710227220.0,-49.0,-46.0,-47.989830508474576,-48.0,590.0
1710227280.0,-53.0,-46.0,-47.97444633730835,-48.0,587.0
1710227340.0,-51.0,-46.0,-47.98807495741056,-48.0,587.0
1710227400.0,-49.0,-46.0,-47.976351351351354,-48.0,592.0
1710227460.0,-53.0,-46.0,-48.00511073253833,-48.0,587.0
1710227520.0,-49.0,-46.0,-47.9778534923339,-48.0,587.0
1710227580.0,-50.0,-45.0,-47.95174708818636,-48.0,601.0
1710227640.0,-49.0,-46.0,-47.9728813559322,-48.0,590.0
1710227700.0,-49.0,-46.0,-47.981260647359456,-48.0,587.0
1710227760.0,-49.0,-47.0,-48.00851788756388,-48.0,587.0
1710227820.0,-52.0,-46.0,-47.99829642248722,-48.0,587.0
1710227880.0,-49.0,-46.0,-47.96917808219178,-48.0,584.0
1710227940.0,-49.0,-46.0,-47.97444633730835,-48.0,587.0
1710228000.0,-52.0,-46.0,-48.006814310051105,-48.0,587.0
1710228060.0,-50.0,-46.0,-47.976190476190474,-48.0,588.0
1710228120.0,-53.0,-46.0,-47.97955706984668,-48.0,587.0
1710228180.0,-52.0,-46.0,-47.945485519591145,-48.0,587.0
1710228240.0,-49.0,-46.0,-47.97614991482112,-48.0,587.0
1710228300.0,-49.0,-46.0,-48.00851788756388,-48.0,587.0
1710228360.0,-49.0,-46.0,-47.95333333333333,-48.0,600.0
1710228420.0,-52.0,-46.0,-47.99148211243612,-48.0,587.0
1710228480.0,-50.0,-45.0,-47.90594059405941,-48.0,606.0
1710228540.0,-52.0,-46.0,-47.982964224872234,-48.0,587.0
1710228600.0,-52.0,-46.0,-48.01362862010222,-48.0,587.0
1710228660.0,-50.0,-46.0,-47.99148211243612,-48.0,587.0
1710228720.0,-49.0,-46.0,-47.98466780238501,-48.0,587.0
1710228780.0,-49.0,-46.0,-47.95262267343485,-48.0,591.0
1710228840.0,-49.0,-46.0,-47.97444633730835,-48.0,587.0
1710228900.0,-53.0,-46.0,-47.9728813559322,-48.0,590.0
1710228960.0,-53.0,-46.0,-47.993185689948895,-48.0,587.0
1710229020.0,-52.0,-46.0,-47.948805460750854,-48.0,586.0
1710229080.0,-53.0,-46.0,-47.996592844974444,-48.0,587.0
1710229140.0,-49.0,-45.0,-47.923339011925044,-48.0,587.0
1710229200.0,-49.0,-46.0,-47.961666666666666,-48.0,600.0
1710229260.0,-49.0,-46.0,-47.971039182282794,-48.0,587.0
1710229320.0,-49.0,-45.0,-47.96081771720613,-48.0,587.0
1710229380.0,-53.0,-46.0,-47.991539763113366,-48.0,591.0
1710229440.0,-49.0,-46.0,-47.99148211243612,-48.0,587.0
1710229500.0,-52.0,-46.0,-47.98639455782313,-48.0,588.0
1710229560.0,-49.0,-46.0,-47.97969543147208,-48.0,591.0
1710229620.0,-51.0,-46.0,-48.045685279187815,-48.0,591.0
1710229680.0,-52.0,-46.0,-47.98474576271187,-48.0,590.0
1710229740.0,-52.0,-46.0,-47.99,-48.0,600.0
1710229800.0,-49.0,-46.0,-47.94037478705281,-48.0,587.0
1710229860.0,-53.0,-46.0,-47.99317406143345,-48.0,586.0
1710229920.0,-53.0,-47.0,-48.045,-48.0,600.0
1710229980.0,-49.0,-46.0,-47.97128378378378,-48.0,592.0
1710230040.0,-49.0,-46.0,-47.96763202725724,-48.0,587.0
1710230100.0,-52.0,-46.0,-47.99488926746167,-48.0,587.0
1710230160.0,-49.0,-46.0,-47.991568296795954,-48.0,593.0
1710230220.0,-49.0,-46.0,-47.989208633093526,-48.0,556.0
1710230280.0,-50.0,-46.0,-48.00851788756388,-48.0,587.0
1710230340.0,-52.0,-46.0,-47.996649916247904,-48.0,597.0
1710230400.0,-52.0,-45.0,-47.87904599659284,-48.0,587.0
1710230460.0,-51.0,-46.0,-47.99488926746167,-48.0,587.0
